iteration,avg_reward,max_reward,lap_completions,lr,noise
1,147.81036718656463,1207.2958545332936,0,0.03,0.025
2,158.0816817073286,1407.8699904654948,0,0.029958,0.024965
3,636.2584027498639,1439.0784248401765,0,0.029915999999999998,0.02493
4,657.7390067236096,1429.7229054195238,0,0.029873999999999998,0.024895
5,896.3094442575862,1434.1915828908755,0,0.029831999999999997,0.02486
6,933.4397418063331,1631.577437741523,0,0.029789999999999997,0.024825
7,1178.928765489414,1464.358033571869,0,0.029748,0.024790000000000003
8,1297.4341002429328,1485.8115050232905,0,0.029705999999999996,0.024755
9,1181.1108104604446,1489.9926346829695,0,0.029664,0.024720000000000002
10,1257.4137707011098,1480.331528846949,0,0.029622,0.024685000000000002
11,1210.48496164158,1441.7059725752495,0,0.02958,0.024650000000000002
12,1334.401243024528,1535.1432496775176,0,0.029538,0.024615
13,1276.3372737777518,1429.5582744367832,0,0.029495999999999998,0.02458
14,1321.9794670869564,1454.8275440660013,0,0.029453999999999998,0.024545
15,1341.8440264039973,1472.3056987120622,0,0.029412,0.024510000000000004
16,1197.063565096947,1547.5693831755652,0,0.029369999999999997,0.024475
17,1399.9433542239374,1603.0954797760867,0,0.029328,0.024440000000000003
18,1388.9285220924312,1517.2870424942448,0,0.029285999999999996,0.024405
19,1376.2865527405934,1610.7622718040031,0,0.029244,0.024370000000000003
20,1371.4995705362724,1609.6871374455807,0,0.029202,0.024335000000000002
21,1372.0917531835196,1643.3825485502412,0,0.02916,0.024300000000000002
22,1379.3935543577702,1964.6662156835757,0,0.029117999999999998,0.024265000000000002
23,1365.3535338864403,1755.2434307836018,0,0.029075999999999998,0.02423
24,1322.3088701135466,1810.4691366227771,0,0.029033999999999997,0.024195
25,1306.2511715399467,1950.8437837731658,0,0.028992,0.02416
26,1427.0575887770467,1983.3537756509731,0,0.028949999999999997,0.024125
27,1510.4464039195248,1751.0934011911086,0,0.028908,0.02409
28,1463.1022447645203,1995.6912834711447,0,0.028865999999999996,0.024055
29,1520.3100416896978,1884.7651345631366,0,0.028824,0.02402
30,1522.9526330457365,2020.879407699555,0,0.028782,0.023985000000000003
31,1433.8351240793195,1997.4464041034792,0,0.028739999999999998,0.02395
32,1544.787652363555,2054.939808824317,0,0.028697999999999998,0.023915000000000002
33,1486.1495228735334,2084.1578029848342,0,0.028656,0.023880000000000002
34,1484.9800057475904,2005.7437303279896,0,0.028613999999999997,0.023845
35,1508.7241937681456,2043.0268442975391,0,0.028572,0.02381
36,1588.883693297072,1986.5977885446189,0,0.028529999999999996,0.023775
37,1625.6983523212182,2038.0343766978383,0,0.028488,0.02374
38,1689.8961029676516,2032.0396657300892,0,0.028446,0.023705000000000004
39,1700.0703197586713,2038.9176622431673,0,0.028404,0.02367
40,1550.3057290464276,2061.7876933340394,0,0.028362,0.023635000000000003
41,1668.2401458199465,2052.7712550305796,0,0.028319999999999998,0.0236
42,1714.510820533796,2029.4907046748037,0,0.028277999999999998,0.023565000000000003
43,1578.0841126012679,2020.7680474728475,0,0.028236,0.023530000000000002
44,1669.4641266740973,2087.378570239601,0,0.028193999999999997,0.023495000000000002
45,1607.8344605583732,2047.9444160331964,0,0.028152,0.02346
46,1684.0667433488427,2051.751838886312,0,0.02811,0.023425
47,1726.8460674718153,2090.165879127212,0,0.028068,0.02339
48,1643.2595694523109,1993.1985765769123,0,0.028026,0.023355
49,1645.860380585849,2042.3435756372269,0,0.027984,0.02332
50,1640.7749456642618,2033.7680177340478,0,0.027941999999999998,0.023285
51,1699.1028686338802,2038.6927403468267,0,0.0279,0.023250000000000003
52,1520.212810915621,2056.742914358985,0,0.027857999999999997,0.023215
53,1724.5233335600471,2014.977172463196,0,0.027816,0.023180000000000003
54,1742.1406329975093,2047.5071253802778,0,0.027773999999999997,0.023145
55,1672.930012702246,2018.1410349169337,0,0.027732,0.023110000000000002
56,1733.5651000853866,2086.0656335365034,0,0.02769,0.023075000000000002
57,1701.2571766439476,2057.439050842231,0,0.027648,0.02304
58,1700.0226229942084,2077.884760982978,0,0.027606,0.023005
59,1712.180091060895,2024.3032847178993,0,0.027564,0.022970000000000004
60,1660.1177628201394,2002.780385278274,0,0.027521999999999998,0.022935
61,1766.0921266643877,2057.8697407672885,0,0.02748,0.022900000000000004
62,1751.9593139374042,2040.1408776564606,0,0.027437999999999997,0.022865
63,1732.4326624730618,2042.4432889784666,0,0.027396,0.022830000000000003
64,1814.0150456111508,2030.4244774164786,0,0.027353999999999996,0.022795
65,1774.5408069850332,2020.4323722261595,0,0.027312,0.022760000000000002
66,1803.26189588509,2046.630360839733,0,0.02727,0.022725000000000002
67,1735.8419307832532,2030.8614147880162,0,0.027228,0.022690000000000002
68,1805.2234749225097,2013.800930995693,0,0.027186,0.022655
69,1812.1498337723526,2016.187771828878,0,0.027144,0.02262
70,1799.948402236745,2040.5003598198878,0,0.027101999999999998,0.022585
71,1785.9557388128462,2044.8216836182671,0,0.02706,0.02255
72,1809.493600681054,2092.676085290631,0,0.027018,0.022515000000000004
73,1820.5849699973837,2082.5088283965893,0,0.026976,0.02248
74,1831.794368316865,2054.780726460757,0,0.026934,0.022445000000000003
75,1821.049991179496,2066.911605833036,0,0.026892,0.02241
76,1909.858749859205,2087.252929570834,0,0.02685,0.022375000000000003
77,1869.0374492142403,2065.9613055167956,0,0.026808,0.02234
78,1829.3681105040691,2089.30790179707,0,0.026765999999999998,0.022305000000000002
79,1851.7236944655785,2067.0635744339775,0,0.026724,0.02227
80,1817.621784105222,2077.2939852973345,0,0.026681999999999997,0.022235
81,1747.7966902501826,2113.590151480156,0,0.02664,0.0222
82,1870.6878769515758,2101.905124103939,0,0.026598,0.022165000000000004
83,1786.9504531339603,2094.1685338121424,0,0.026556,0.02213
84,1667.6805545884952,2087.243316659417,0,0.026514,0.022095000000000004
85,1759.845187202504,2114.8258380724033,0,0.026472,0.02206
