episode,reward,loss,lap
1,1359.6230381716225,0.5615054368972778,0
2,1832.9036016583727,0.46391817927360535,0
3,2592.899876573066,0.4136751592159271,0
4,2558.582653085113,0.42659127712249756,0
5,301.2510644071126,0.4430428147315979,0
6,4548.223978236657,0.3954732120037079,0
7,2504.1049562445364,0.37049275636672974,0
8,2144.929167870586,0.38535165786743164,0
9,-1026.3330768221479,0.5270435810089111,0
10,1596.041598531141,0.44372066855430603,0
11,-3408.2437287955636,0.5648944973945618,0
12,-3645.428338564963,0.5814775228500366,0
13,-6074.780650341742,0.5249592661857605,0
14,-3578.419255608782,0.472032368183136,0
15,-544.9926642010234,0.3966573476791382,0
