episode,reward,loss,lap_completed,lap_time
1,208.05219008434605,21.427156448364258,0,
2,487.5255098997031,24.90673065185547,0,
3,-178.0635052214885,16.40291976928711,0,
4,345.49810323534456,20.60249900817871,0,
5,-241.64613582543242,15.187413215637207,0,
6,-17.11777354383852,17.57398223876953,0,
7,-206.71296971979737,15.629332542419434,0,
8,16.22875880387598,18.75212287902832,0,
9,92.83671446174168,18.76603889465332,0,
10,-224.69484538184432,15.474089622497559,0,
11,-60.1811561184631,16.683273315429688,0,
12,-410.9713099077934,12.880402565002441,0,
13,126.93151749426593,19.738431930541992,0,
14,447.0319491028007,21.536792755126953,0,
15,-141.58532313525885,16.921886444091797,0,
16,-224.7805357240299,15.150845527648926,0,
17,337.6158136670508,20.415422439575195,0,
18,185.32181285950256,19.85384750366211,0,
19,122.84364179081123,19.802915573120117,0,
20,95.10487518905198,18.279701232910156,0,
21,499.87113528954836,23.611957550048828,0,
22,245.50251434767364,19.804149627685547,0,
23,1358.6534207657603,33.06745147705078,0,
24,20.60219395008768,16.960689544677734,0,
25,756.7546876940047,24.645496368408203,0,
26,-312.46151373563373,14.537568092346191,0,
27,653.6644311453281,26.330341339111328,0,
28,179.38396496931523,19.7346134185791,0,
29,-200.40966343864147,15.156545639038086,0,
30,-396.52951470149975,13.867392539978027,0,
31,-82.65941108177707,16.447315216064453,0,
32,174.90556303331607,18.763322830200195,0,
33,510.47548569658494,23.64313507080078,0,
34,-142.3378175837112,15.874293327331543,0,
35,177.96639633380752,19.133922576904297,0,
36,-207.89614477216043,15.12484073638916,0,
37,193.24379024159472,19.044986724853516,0,
38,-105.94242340021172,15.979873657226562,0,
39,-75.55243925420928,17.279340744018555,0,
40,-27.843568866807022,15.650256156921387,0,
41,-470.96343311102413,12.27999210357666,0,
42,680.7743709722447,24.453001022338867,0,
43,231.30587182383042,20.308744430541992,0,
44,-129.0941665597603,15.71213436126709,0,
45,-365.4849826204033,13.397263526916504,0,
46,361.47676088117623,21.170917510986328,0,
47,-197.17986104359463,14.542707443237305,0,
48,-456.44620082942487,12.323203086853027,0,
49,-27.575167369878784,17.61455726623535,0,
50,521.2796835786702,22.903793334960938,0,
51,-106.84293425838713,15.228160858154297,0,
52,598.2296687031605,25.026988983154297,0,
53,-192.33907526096928,14.362228393554688,0,
54,-240.26456856112702,13.742438316345215,0,
55,518.6328090020888,23.42536735534668,0,
56,420.42584852531803,22.819198608398438,0,
57,-431.4784939647313,11.76022720336914,0,
58,-206.20407752319113,14.415559768676758,0,
59,-501.21656205661174,12.028233528137207,0,
60,411.7949080051151,20.163471221923828,0,
61,-140.64660821594464,15.932066917419434,0,
62,-495.5999288269898,11.759380340576172,0,
63,-55.26488415903318,15.445157051086426,0,
64,-574.9156348881585,11.419561386108398,0,
65,255.63472973287162,18.992645263671875,0,
66,-315.6065904904248,13.86845588684082,0,
67,-258.19821631222527,13.965371131896973,0,
68,121.38538970862261,17.330289840698242,0,
69,300.2757879950952,20.944965362548828,0,
70,-413.76420501503884,13.658296585083008,0,
71,-509.1386400683282,11.776839256286621,0,
72,434.93630486060187,21.996620178222656,0,
73,583.4897219926448,23.499732971191406,0,
74,-10.807044317729874,16.941360473632812,0,
75,-243.99390036547973,13.864662170410156,0,
76,185.06609151872604,18.377138137817383,0,
77,-545.4069370195273,10.829557418823242,0,
78,-370.6212176810997,11.9690580368042,0,
79,-25.47980891347235,15.189616203308105,0,
80,-154.3705270829786,15.679187774658203,0,
81,-10.64069516102942,16.640649795532227,0,
82,-245.15583204562893,12.939650535583496,0,
83,-523.2807213017097,10.571215629577637,0,
84,-394.1720393518942,11.809327125549316,0,
85,265.80349544617314,19.435056686401367,0,
86,359.30351400432727,17.792922973632812,0,
87,166.93582706357105,16.90500831604004,0,
88,90.95395376437082,17.321718215942383,0,
89,-539.8818313623016,9.893510818481445,0,
90,208.72644523026,16.42483901977539,0,
91,-69.00328261060386,14.518983840942383,0,
92,-102.81677833528148,14.659210205078125,0,
93,-518.3556111921495,10.087113380432129,0,
94,87.74840661223944,15.57843017578125,0,
95,-538.3779271940714,10.259201049804688,0,
96,751.5096622164566,23.030298233032227,0,
97,268.1564417774614,17.00937843322754,0,
98,-11.496270393600716,14.29961109161377,0,
99,247.61382046184016,28.37738609313965,0,
