iteration,avg_reward,max_reward
1,-6198.166254340258,4949.766319444444
2,-6875.810047743036,-4934.166666666666
3,-6711.414648437461,-4934.166666666666
4,-5899.067827690953,5022.4875
5,-6307.885948350684,-3665.92777777778
6,-6501.4586805555555,-4934.166666666666
7,-6044.077669270815,789.3444444444466
8,-5925.9187608506945,789.3444444444466
9,-6581.7477430555455,-4934.166666666666
10,-6164.303255208313,-5816.597916666667
11,-6344.176139322916,-6000.0
12,-5966.759982638879,-4934.166666666666
13,-6564.861100260417,-5449.176388888888
14,-5963.788368055555,-4934.166666666666
15,-6511.902180989583,-6000.0
16,-6037.337641059027,-4934.166666666666
17,-6000.0,-6000.0
18,-5938.581434461806,933.4555555555572
19,-6147.6873155381945,-6000.0
20,-5992.863389756944,-5771.628472222223
21,-6264.3196397569445,-6000.0
22,-6000.0,-6000.0
23,-6161.854741753472,-5771.628472222223
24,-5966.692708333333,-4934.166666666666
25,-5966.752083333333,-4936.066666666667
26,-6105.952322048611,-4482.329166666666
27,-6000.0,-6000.0
28,-5958.304817708333,-4934.166666666666
29,-5966.692708333333,-4934.166666666666
30,-6003.335199652778,-4672.775
31,-6002.602582465278,-4777.691666666667
32,-6198.274826388889,-4934.166666666666
33,-6136.492838541666,-4874.197916666666
34,-6128.116080729166,-4934.166666666666
35,-5990.235807291667,-5687.545833333334
36,-5922.356575520833,-4732.458333333333
37,-6105.094401041666,-4934.166666666666
38,-6160.695605468749,-4418.045833333334
39,-6138.241731770833,-4934.166666666666
40,-5887.850520833333,-4694.097916666667
41,-5775.950629340277,-4539.058333333333
42,-5688.372309027777,-4934.166666666666
43,-5932.9597005208325,-4705.139583333334
44,-5804.671744791665,-4923.25625
45,-5660.118988715278,-4816.235416666666
46,-5786.981792534722,-4755.1625
47,-5495.665169270833,-4934.166666666666
48,-5234.126367187499,-4182.177083333334
49,-5335.8517469618055,-4934.166666666666
50,-5119.913606770833,-4934.166666666666
