episode,reward,loss
1,35.4661111111114,0.5166516304016113
2,333.8977777777785,0.4638344347476959
3,502.298888888889,0.4403645098209381
4,266.41111111111127,0.44670066237449646
5,396.1152777777784,0.4614507853984833
6,350.4452777777775,0.46376940608024597
7,197.01027777777796,0.47521862387657166
8,316.2947222222221,0.4766167402267456
9,337.8375,0.49446743726730347
10,285.8208333333332,0.4447592794895172
11,148.90083333333328,0.4241965413093567
12,312.1922222222219,0.44194310903549194
13,217.59000000000015,0.44266772270202637
14,184.21166666666673,0.4687204360961914
15,234.30722222222238,0.43317902088165283
16,355.08777777777743,0.4127577841281891
17,204.52777777777797,0.4531308710575104
18,307.1277777777777,0.40171146392822266
19,175.8247222222223,0.4135406017303467
20,200.75305555555573,0.381622314453125
21,241.11888888888913,0.36140990257263184
22,170.32972222222227,0.43121007084846497
23,204.02388888888913,0.35295119881629944
24,165.97222222222237,0.3554242253303528
25,165.80361111111117,0.35036584734916687
26,159.51833333333346,0.2871137261390686
27,194.0608333333334,0.3669743537902832
28,201.17222222222242,0.3385423421859741
29,183.11861111111116,0.3005889654159546
30,243.23027777777793,0.34965670108795166
31,215.7638888888889,0.12727141380310059
32,174.79944444444462,0.21325784921646118
33,169.62000000000006,0.2469356507062912
34,225.0522222222224,0.20898009836673737
35,212.67861111111125,0.13924066722393036
36,262.49944444444463,0.14730022847652435
37,189.79083333333347,0.32452958822250366
38,204.79138888888914,0.05426483228802681
39,179.19888888888892,-0.02333742380142212
40,267.14166666666677,0.026922155171632767
41,198.7316666666668,0.1866445541381836
42,211.34388888888893,0.19370229542255402
43,212.01194444444454,0.3599340319633484
44,188.94055555555562,-0.11426737159490585
45,190.83888888888893,0.016541441902518272
46,217.62583333333345,-0.1965232789516449
47,253.4411111111113,0.03607185557484627
48,211.9733333333333,0.12422925233840942
49,262.0061111111111,0.17591863870620728
50,369.92944444444385,-0.16467058658599854
51,240.93555555555568,-0.23549629747867584
52,216.29111111111132,0.09343113750219345
53,223.2161111111111,-0.2985016405582428
54,244.00638888888895,-0.2274385392665863
